app,content,score
Netflix,"subtitle sering hilang muncul. jujur awal2 langganan b aja, tp skrng mulai terganggu bgt gara2 ini. tolong diperbaiki lg dong masalah subtitle biar ga ilang2 an. masa harus replay adegan trs baru muncul. mohon diperhatikan ya.",3
Netflix,"film²nya dan seriesnya banyak dan populer² serta bagus. Jarang error,tapi,ada satu kendala yaitu saat saya ingin menghapus film/serial yang saya tonton dari baris,film/serialnya tetap ada walaupun saya sudah memencet tombol menghapus film/series tsb. Permasalahan lain adalah subtitlenya,subtitlenya itu menurut saya cukup kaku dan formal yang membuat saya agak kurang fokus menonton dan pusing.",4
Netflix,kata temen saya ini aplikasi lengkap!! tapi menurut saya tidak lengkap sama sekali banyak film dan cartoon yg tidak ad ketika saya cari bahkan anime ada yg bahkan season 3/season lanjutannya tidak ad!! ini seperti aplikasi yg tidak niat sama sekali!! sangat disayangkan!!,3
Netflix,tiap mau nonton pasti ada kesalahan vidio coba lagi terus begitu sampe saya restart aplikasi. yg bikin jengkel lagi nyari judulnya lagi buat mutar itupun kalo bisa diputar kalo gk ya error mulu tolonglah ini sudah berlangganan kenapa tidak ada perbaikan sama sekali anda ini niat apa tidak,1
Netflix,"Udah berlangganan bulanan, eh di TV perangkat sudah tidak di dukung, udah ga bisa ditonton atau di download lg aplikasinya. Masa tiap perangkat tidak di dukung kudu ganti tv? Masa aplikasi pilih2 merk tv. Aneh. Cara non aktifkan berlangganan gimana? Soalnya tiap bulan ke potong otomatis utk berlangganan.",1
Netflix,"Netfilx saya sudah berbayar tapi tetep ga bisa login masuk,mubazir uang aku,kembaliin aja kalo aku ga bisa login masuk padahal uda di coba semuanya tetep aja ga bisa masuk,ayoo dong netflix benerin banyak yg ga bisa login loo padahal mreka uda berbayar",1
Netflix,"saat menonton video selalu terjadi kesalahan dan video tidak bisa di putar.saya sudah mencoba perbaiki beberapa kali,merestar ulang handphone & instal ulang apk tetapi video tetep saja gabisa di tonton. kalau begini terus ga worth it sudah bayar lumayan mahal,tapi tidak dapat hasil yang memuaskan.",1
Netflix,"Enek banget sm netflix sekarang, gk ky dulu. Skrg log in aja menguras emosi banget. Berkali2 di suruh coba lagi pada akhirnya harus nunggu lama untuk coba log in lg. Padahal gk ada yg salah sm email n pass. Netflix minta pelanggan pada kabur ke applikasi lain mungkin. Udh bnyk keluhan yg sama, tapi gk ada perubahannya sama sekali",1
Netflix,"udah beberapa bulan yang lalu, masuk doang gabisa bisa, udah dicoba berkali kali pun tetep gabisa, udah pake nomer, email, dll. tetep aja gabisa. mau masuk aja bikin emosi, udah masukin email, sandinya udah bener tetep salah terus, waktu udah di masukin emailnya malah gabisa, terjadi kesalahan terus, giliran di pencet pencet malah ada tulisan 'terlalu banyak upaya' hadeh, tolong lah ya, diperbaiki aplikasinya, udah males banget nyoba² masuk tapi tetep gabisa bisa.",1
Netflix,"semakin susah masuk akun, katanya bukan akun rumah netflix lagi, padahal saya sudah logout dari semua perangkat lainnya, tapi tetap tidak bisa masuk, lewat link pun tidak bisa, link selalu kadaluarsa meskipun link langsung dibuka setelah diterima, belum ada 5 menit tapi sudah kadaluarsa, tolong perbaiki, saya sudah bayar, saya berlangganan langsung dan resmi dari aplikasi netflix, bukan beli paket ilegal.",1
Netflix,"puas banget selama nonton di netflix, selama di bulan April ini. keren banget pokoknya, kualitas gambar HD nya ok banget + pilihan film nya juga. jangan lupa tambahin animasi jumbo juga nanti nya atau kalau fokus di genre lainnya juga gak mengapa",5
Netflix,"Udah ok. Tapi seringkali ketika mau lanjut menonton malah error, di close+masuk lagi masih buffering lama. Sinyal pake WiFi bahkan seluler pun 4G aman aja, emang bug dri aplikasinya. Tolong diperbaiki",3
Netflix,"Kenapa sih mau masuk doang bikin emosi , padahal udah bener akun nya pasword nya tapi setelah di pencet masuk kok di suruh salin link dan periksa email habis itu di suruh ke browser setelah itu keluar suruh masuk lagi. Sumpah udah berkali-kali ganti akun, ganti nomer telpon, bahkan pakek kode masuk tapi tetep gitu terus. (TOLONG DI BENERIN DONG APLIKASI RUSAK)",1
Netflix,"Netflix tolong dong diperbaiki, saya gabisa nonton udah hampir 1 bulan karena filmnya load terus. tapi trailer bisa ditonton, saya udh ganti pake datsel, wifi sana sini tetep gabisa. setelah di update malah gini tolong perbaikannya",1
Netflix,"Fiturnya sangat lengkap banyak dubbing juga, Oh ya kalo ada yg bilang gak bisa login atau sejenisnya, itu kamu pasti berlangganan Netflix lewat ( elegal kan ) yg harga murah itu dll Itu elegal coba deh yg bener bener aja akun nya langsung di aplikasi nya aja pasti aman"" aja. Pokoknya aku suka banget, terimakasih Netflix",5
Netflix,"Sangat menjengkelkan, pertama kali instal dan saat ingin login setelan bahasa otomatis ke bahasa cina hanya karena saya berada di Taiwan, berada di cina bukan berarti bisa dan mengerti tulisan cina! Seharusnya setelan bahasa diubah ke default atau setidaknya ada fitur adjust perubahan bahasa! Bahkan untuk di screenshot untuk saya terjemahkan pun tidak bisa! Sangat menjengkelkan.",1
Netflix,Masalah muncul saat akun ditangguhkan karena terlambat pembayaran. Kebijakan ini sangat tidak nyaman. Karena mengisi saldo ternyata tidak menyelesaikan pembayaran. Malah saldonya keburu hilang terpotong oleh aplikasi langganan yang lain. Penyelesaiannya harus mengganti metode pembayaran. Artinya harus membuat akun dompet digital berbeda dari sebelumnya. Dan isi saldo lagi. Pengalaman yang buruk.,1
Netflix,"Tolong lah ya, untuk developer nya,di update lagi,perlengkap kan semua film, masa iya kaya film ( jack the giant slayer ) ga ada kan percuma berlangganan, mahal mahal bayar di Netflix, terpaksa harus nonton di apk VIDEO buat kalian yang belum download, kalau mau download trus mau berlangganan, kurang rekomend apk Netflix, bagus apk video lengkap mau apapun yang kita cari video nya tetap ada ga kaya Netflix udah mahal mahal bayar sekali nya mau cari video yang di inginkan ga ada😒",3
Netflix,"Netflix saya sudah saya bayar,kata nya sukses pembayaran,tapi ga bisa masuk. Setelah banyak coba cara lain pakek kode,tiba² di bilang coba lagi nnti karna telat banyak masuk.",5
Netflix,"oi bang ada bug tuh, di backstreet rookie ada adegan ke eps 11 skip sebelum menit 52:37, ada detik"" ke skip juga di episode ini, tolong di fix, dan berikan kompensasi ke saya 3.000.000 won",4
Netflix,"terjadi kesalahan, tidak bisa diputar. menyebalkan... sudah install ulang tetep seperti ini, jika kendala di bulan ini tidak diperbaiki sepertinya pindah aplikasi saja..",1
Netflix,"seperti nya saya sudah pernah masuk tapi pas login dan masukan sandi salah dan saat ingin menggunakan kode dari pesan Gmail malah gak bisa, katanya ""terlalu banyak aksi"" jelas ini sangat tidak kompeten dan bodoh, sebenarnya apa tujuan kalian,huh? GK guna punya tim!",1
Netflix,"Lahhh gue udah daftar dan udah bayar paket 65.000 tapi gak bisa masuk ke aplikasinya malah disuruh muter muter gak jelas pencet Links malah keluar trus gagal log in mlulu padahal email dan sandi udah benar ,,,Aplikasi SAMPAH susahh banget daftarnya ribetddd",1
Netflix,"gak bisa login, keterangannya perangkat bukan bagian dari rumah dengan akun netflix. padahal login di hp yg sama, tolong solusinya tim netflix",5
Netflix,"Aplikasi nya lagi down?? atau gimana?? buka di browser bisa, buka di aplikasi malah gaisa terus dr tadi. Berasa ini hape gue yg error atau aplikasi nya yg error, pliss terakhir nonton tgl 15 April loh",4
Netflix,"netflix memang 👍👍joss walaupun masuknya agak ribet dikit aja tapi enak sih buat nonton, buat nonton sambil makan bisa, buat nonton pas lagi gabut bisa, pokoknya bisa semua deh sekian dari saya",4
Netflix,"saya login gagal terus, udah bisa login, trus berlangganan tapi film gak bisa d Tonton hanya loading terus menerus. ada solusi nya gak ya kan sayang udah bayar mahal tapi GX bisa di tonton",1
Netflix,"malas banget sama pendaftaran Netflix kaya dipersulit seharusnya dipermudah kan ini malah dipersulit andai bisa bintang nol kukasih bintang nol, cape banget bolak balik Gmail, masukin sandi dan kode masih gak bisa maunya apasih udah ku hapus aplikasinya👎",1
Netflix,"udah langganan untuk 2 perangkat, tp pas login di hp ga bsa krn bukan household.. mencet tonton sementara link sudah tidak valid minta di perangkat asal"" padahal blm login ke tv",1
Netflix,"semoga dibaca sama pihak netflix. tolong gak usah pake dubbing indonesia. saya nonton trauma code, when life gives tangerines malah gak nyampe emosinya ke penonton. cukup pakai translate aja. mlah nyampe emosinya pke suara asli pemerannya.",4
Netflix,"aku sudah berlangganan sudah bayar lewat ovo tapi pas buka aplikasi netflik nya ga bisa,ket di suruh dftar sudah dftr sudah selesai bayar pokoknya tapi tetep ajh ga bisa masuk...bagaimana yaa..tolong deh..",1
Netflix,Meskipun berlangganan melalui agen dalam mode sharing saya sangat puas dengan kualitas tontonan Netflix dari pada aplikasi tetangga sebelah 👍🤣,5
Netflix,"fitur upgrade layanan tidak ada safety klik dan tidak bisa di urungkan padahal belum ada 1 jam pembelian. ini seperti menjebak pembeli yang harus mengikuti cara kerja sistem. hanya karena tidak sengaja/terpencet, langsung otomatis pindah paket. heran sama aplikasi sebesar ini. hapus akun saja.",1
Netflix,"Harusnya di kelompokkan Genre beserta tahunnya, biar ada pilihan buat nontonnya. Contoh : Misalkan kita pilih Genre Horor lalu muncul film terbaru berdasarkan tahun (bisa pilih 2025 atau 2024 & seterusnya). Nah dengan begitu kita ada rekomendasi film buat ditonton secara jelas, nggak acak²an. Coba deh liat situs Ilegal, mereka seperti itu fiturnya. Klo Netflix mah nggak jelas, nggak bisa filter film. Jadi klo kita nggak punya referensi film, pasti filmnya itu² mulu.",1
Netflix,"Video tidak dapat diputar. tulisannya terjadi masalah saat pemutaran. coba lagi (5.7.6). sudah buka tutup aplikasi, sudah hidupkan kembali perangkat. versi os androit sudah yang terbaru.",1
Netflix,"malesin, login gabisa bisa padahal BARU AJA instal suruh UPDATE LAGI!! kenapa gak baru pertama kali instal langsung update terbaru sih?? login ga bisa bisa padahal email dan sandi bener, bapuk amat!!!PERBAIKI LAGI!",1
Netflix,"buruk banget, udah di coba berapa kali pun gabakalan bisa login, percuma, minimal kasih keterangan alasan ngapain gabisa login, gitu kan kita jadi tahu kekurangan kita apa sampe"" gabisa login, buruk bet dah pokoknyaaaa, mohon diperbaiki lagi",1
Netflix,"Dari dulu selalu maju mundur kalo mau pake netflix,akhirnya baru banget kemaren beli paket yang 65k nyoba dulu ceritanya.. eh ternyata cuma bisa buat satu device doang.. ga bisa buat hp atau tv lain,kalo mau di device lain suruh bayar lagi 55k 👹 seenggaknya kalo kalian merasa takut ditipu atau takut diperjual belikan lagi,adain vermuk aja/kalo engga liat IP Adressnya,masih lingkungan yang sama apa enggak.. ribet banget,bulan besok ga mau perpanjang !!",1
Netflix,Aplikasi menonton film dan serial terbaik buat w..sudah ga ada lawan deh.. ..film dan serialnya banyak ga pelit kayak yg lainnnn..selalu ada film dan serial baru menonton jadi ga ngebosenin.. paling tambahin film2nya di full screen dong mi n..thanks netflix👍👍,5
Netflix,"Cukup sekali aja langganan nya. Untuk login ajh manguras emosi. Awalnya salah sandi, terus udh ganti sandi baru malah muncul tulisan "" upaya login terlalu banyak, coba lagi "" Selang beberapa hari coba login lagi, masih muncul tulisan ""upaya login terlalu banyak, coba lagi"" Padahal sdh mngikuti tutor di youtube dari ganti jaringan internet wifi > Data. Terus hapus cookies, hapus data aplikasi, Dll. Hasil nya tetep sama gak bisa login.",1
Netflix,"netflix kenapa dah, dikit dikit bermasalah. sering bgt gini lagi nonton tiba tiba eror. padahal paket nontonnya resmi beli di apknya langsung. tolong diperbaiki lah. bikin badmood aja.",1
Netflix,"Susah bener buat login. Padahal email dan password udah bener. Sampe udah reset juga masih ga bisa. Tertulis ""Terlalu banyak upaya Login"" Apa sih mau nya? Mau login pake kode aj muncul notif ""Terlalu banyak mencoba"" Banyak mencoba karna system kalian ga beres wooii",1
Netflix,"Film yang baru ditambahkan saya kira film² baru, ternyata film² yang sudah basi tidak layak ditonton karna kwalitasnya juga sudah pada buram, pokoknya flm²nya NETFLIX 90% film jadul, rugi berlangganan!!! Apa lg yg versi baru skrg makin RUSUH GAME CELLULAR dimasukkan ke netflix, bikin hp berat!!! Sumpah nyesel memperpanjang langganan.... Bulan dpn saya tdk akan berlangganan lg, UNINSTAL lbh baik!!! 😡😡😡😡😡",1
Netflix,"aplikasi jelek,mau masuk ga bisa padahal email&sandi sudah benar semua,baru banget bayar yg 186 ribu malah ga bisa masuk,rugi dah gue",1
Netflix,"Sering banget error. I mean, tiba-tiba 'kata sandi salah', padahal jelas-jelas bener. Soalnya beberapa waktu kemudian dicoba bisa. Ini buruk banget sih. Semoga segera diperbaiki",1
Netflix,"apk ga jelas, mau masuk aja gabisa, padahal udah dicoba semua no telpon, email, kata sandi udah bener tetep ga bisa, malah ""terjadi kesalahan"", dipencet² malah "" terlalu banyak upaya (-56)"", tolong diperbaiki",1
Netflix,"Netflix susah masuk, susah dapet kode susah berlangganan, kenapa ya akhir"" ini kualitas menurun padahal Netflix tempat nonton film"" terbaik dan dari penilaian yg lain juga banyak kendala dan rating bintang mereka nurun juga tolong di perbaiki kendala"" nya mimin Netflix",2
Netflix,"Bagus banget dan hd filem filem nya! Tapi saya ada kendala saat pembayaran, saat ingin melakukan pembayaran untuk ke 2 kali nya malah ulang terus terusan di web nya, katanya perbarui pembayaran, tapi saat memperbaharui, malah ngulang terus terusan, mohon bantuannya 🙏",5
Netflix,"Bagus, bnyk pilihan. sayangnya my Happy Marriage season 2 nggak utuh, episode 12 blm ada dan tersedia. padahal sebenarnya sdh tersedia. saya kecewa, knp Netflix tidak menyediakan episode 12. sekarang pasti sdh selesai. gara-gara nggak ada saya jd kesal",5
Netflix,"dah lama stop berlangganan, tiba² dpt notif saldo dana kepotong utk pembayaran netflix... koq bisa? udah gitu krn saldo dana dh kepotong instal netflix lah koq gak bisa log in... ini netflix bisa kasih penjelasan gk?",1
Netflix,"apk gila.. udah dibayar masih aja ada peringatan ""pembayaran ditunda"" ngga gitu juga konsepnya.. jangan dipermainkan seperti ini dong kan sayang apk yang sudah dibayar. jelek banget pun sumpah, ngga ngerti maunya apa ini apk.",1
